codigo;descricao;unidade
6997616;BARRAMENTO TERRA P/TRILHO DIM 7 POLOS;UNI
6997615;BARRAMENTO NEUTRO P/TRILHO DIM 7 POLOS;UNI
7607616;DISCO DESBASTE DIAMANTADO 115MMXM14;UNI
7607358;DISCO APOIO P/BOSCH GEX 125-150 125MM;UNI
7600337;CONTATOR 4P 12A 24VCA 50/60HZ 2NA+2NF;UNI
7605156;CONTATOR TRIPOLAR 16A 24V 50/60HZ 1NA;UNI
7605155;CONTATOR TRIPOLAR 16A 24V 50/60HZ 1NA;UNI
7604724;CABO CONEXAO P/SENSOR M12 IFM EVC004 (LARANJA);UNI
6995134;CABO P/SENSOR M12 4 FUROS FM 2M 4A 180°;UNI
6997501;CONTATOR 25A 24VAC TRIPOLAR CWB25;UNI
6996873;CONTATOR 18A 220V CWB18-11-30D23;UNI
7602635;COTOVELO CONDULETE ¾ PCV CINZA;UNI
;COTOVELO PLANO ANGULO 90º BRANCO;UNI
7606792;CABO PP FLEX PT 4VIAS 500V 100M ROLO;UNI
6992079;CABO FLEX 1 VIA 750V 2.50MM PRETO;UNI
6997341;CABO FLEX 1VIA 20AWG 100M 750V VM;UNI
6997345;CABO FLEX 1VIA 20AWG 100M 750V BR;UNI
6991581;CABO FLEX 1 VIA 750V 2.50MM AZ;UNI
6991584;CABO FLEX 1 VIA 750V 2.50MM VD;UNI
6993877;CABO FLEXIVEL PRETO 1VIA 25M 1,5MM2;UNI
6993879;CABO FLEXIVEL VERMELHO 1VIA 25M 1,5MM2;UNI
6993880;CABO FLEXIVEL AZUL 1VIA 25M 1,5MM2;UNI
6998495;CURVA 90° PVC 3/4 CINZA MASSTER C/BOLSA;UNI
6998537;CAIXA CONDULETE 5 ENTRADAS 3/4POL PVC BR;UNI
6992554;FITA ISOLANTE 23BR AUTOFUSAO;UNI
6993657;ESCOVA CARVAO P/MAQUINAS CABOS;UNI
6991435;ELETRODUTO PVC LEVE LISO 3/4 CZ MASSTER;UNI
6991837;INTERRUPTOR 1TS IP44 PIAL 10A CZ AQUATIC;UNI
7601468;INTERRUPTOR P/ ESMERILHADEIRA;UNI
7607333;INTERRUPTOR P/LIXADEIRA GEX 125-1 AE;UNI
